slug,snapshots_checked,mismatches,stale_explained,n_events
btc-updown-15m-1765078200,58,0,0,14103
btc-updown-15m-1765089000,86,0,0,21003
btc-updown-15m-1765099800,90,4,0,21633
btc-updown-15m-1765110600,118,6,4,28713
btc-updown-15m-1765120500,194,0,0,47267
btc-updown-15m-1765131300,158,10,10,38333
btc-updown-15m-1765165500,0,0,0,0
btc-updown-15m-1765175400,84,6,6,20314
btc-updown-15m-1765186200,160,8,4,38841
btc-updown-15m-1765197000,136,4,4,32896
btc-updown-15m-1765207800,232,16,12,56211
btc-updown-15m-1765217700,126,2,0,30659
btc-updown-15m-1765228500,114,2,2,27574
btc-updown-15m-1765240200,66,2,0,16279
btc-updown-15m-1765251000,36,0,0,8719
btc-updown-15m-1765260900,146,6,4,35571
btc-updown-15m-1765271700,108,2,2,26298
btc-updown-15m-1765282500,46,2,2,11174
btc-updown-15m-1765292400,108,0,0,26435
btc-updown-15m-1765303200,184,8,4,44673
btc-updown-15m-1765314000,200,6,4,48535
btc-updown-15m-1765324800,114,8,2,27268
btc-updown-15m-1765334700,88,0,0,21572
btc-updown-15m-1765345500,108,4,0,26029
btc-updown-15m-1765356300,100,10,6,24136
btc-updown-15m-1765367100,178,2,0,43093
btc-updown-15m-1765377000,304,12,10,73886
btc-updown-15m-1765387800,178,6,4,43260
btc-updown-15m-1765398600,312,8,8,75619
btc-updown-15m-1765408500,72,4,0,17816
btc-updown-15m-1765419300,234,4,2,57334
btc-updown-15m-1765430100,48,0,0,11664
btc-updown-15m-1765440900,130,6,4,31642
btc-updown-15m-1765450800,96,10,10,22843
btc-updown-15m-1765461600,130,4,0,31086
btc-updown-15m-1765472400,148,0,0,35202
btc-updown-15m-1765483200,46,2,2,11178
btc-updown-15m-1765493100,0,0,0,131
btc-updown-15m-1765503900,132,2,0,32191
btc-updown-15m-1765514700,74,2,2,17901
btc-updown-15m-1765524600,102,6,4,23725
btc-updown-15m-1765535400,110,2,2,26104
btc-updown-15m-1765546200,110,0,0,26343
btc-updown-15m-1765557000,34,0,0,8334
btc-updown-15m-1765567800,156,0,0,37980
btc-updown-15m-1765579500,0,0,0,50
btc-updown-15m-1765590300,48,0,0,11738
btc-updown-15m-1765601100,60,0,0,15041
btc-updown-15m-1765611000,66,2,2,16255
btc-updown-15m-1765624500,30,0,0,7391
btc-updown-15m-1765635300,48,2,2,11857
btc-updown-15m-1765645200,40,2,0,9842
btc-updown-15m-1765656900,76,2,2,18555
