slug,PNL,isWin,1s,3s,5s,10s,20s,30s,45s,60s,120s,180s,220s
btc-updown-15m-1768816800,1.97,true,0,0,0,0.00999999999999998,0.03999999999999998,0.03999999999999998,0.04999999999999999,0.04999999999999999,0.08000000000000002,0.18,0.25
btc-updown-15m-1768817700,2.85,true,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.06,0.09999999999999998,0.09999999999999998,0.13,0.14999999999999997,0.20999999999999996
btc-updown-15m-1768818600,-7.34,false,0,0.010000000000000007,0.010000000000000007,0.01999999999999996,0.01999999999999996,0.01999999999999996,0.06,0.12,0.27,0.27,0.27
btc-updown-15m-1768819500,3.35,true,0,0,0,0.010000000000000007,0.07,0.07999999999999996,0.12,0.13,0.41999999999999993,0.41999999999999993,0.41999999999999993
btc-updown-15m-1768822200,2.66,true,0,0,0,0.06,0.06,0.07,0.18,0.19999999999999996,0.31999999999999995,0.31999999999999995,0.31999999999999995
btc-updown-15m-1768823100,2.95,true,0,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.06,0.09999999999999998,0.15999999999999998,0.16999999999999998,0.19,0.30999999999999994
btc-updown-15m-1768824900,-7.24,false,0,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.03999999999999998,0.04999999999999999,0.15999999999999998,0.19,0.19,0.19,0.19
btc-updown-15m-1768826700,2.26,true,0,0.00999999999999998,0.04000000000000001,0.05000000000000002,0.05000000000000002,0.05999999999999997,0.17,0.32000000000000006,0.4300000000000001,0.4300000000000001,0.4300000000000001
btc-updown-15m-1768827600,2.95,true,0,0,0,0,0,0.010000000000000007,0.020000000000000014,0.020000000000000014,0.09000000000000002,0.13,0.21
btc-updown-15m-1768829400,1.97,true,0.00999999999999998,0.00999999999999998,0.00999999999999998,0.00999999999999998,0.00999999999999998,0.03999999999999998,0.03999999999999998,0.06,0.08000000000000002,0.19,0.24
btc-updown-15m-1768830300,3.05,true,0,0,0,0.010000000000000007,0.02999999999999997,0.04999999999999999,0.08999999999999997,0.11,0.18,0.26,0.27
btc-updown-15m-1768831200,2.76,true,0.010000000000000007,0.010000000000000007,0.04000000000000003,0.04000000000000003,0.04000000000000003,0.07,0.13,0.13,0.26,0.31000000000000005,0.31000000000000005
btc-updown-15m-1768832100,-6.46,false,0.01999999999999996,0.02999999999999997,0.02999999999999997,0.06999999999999995,0.08999999999999997,0.08999999999999997,0.2,0.20999999999999996,0.31,0.31,0.31
btc-updown-15m-1768833000,-7.05,false,0,0.010000000000000007,0.02999999999999997,0.04999999999999999,0.04999999999999999,0.08000000000000002,0.14,0.14,0.16,0.16,0.18999999999999995
btc-updown-15m-1768833900,2.56,true,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.020000000000000014,0.030000000000000027,0.12000000000000002,0.12000000000000002,0.24999999999999997,0.33000000000000007,0.35
btc-updown-15m-1768835700,2.76,true,0,0,0.009999999999999952,0.009999999999999952,0.01999999999999996,0.01999999999999996,0.08999999999999997,0.09999999999999998,0.19,0.27,0.27
btc-updown-15m-1768836600,2.17,true,0,0,0.010000000000000007,0.010000000000000007,0.09,0.09,0.14,0.23,0.31000000000000005,0.31000000000000005,0.31000000000000005
btc-updown-15m-1768837500,2.56,true,0,0,0,0.010000000000000007,0.020000000000000014,0.020000000000000014,0.15999999999999998,0.19,0.28,0.28,0.28
btc-updown-15m-1768838400,-6.99,false,0.020000000000000014,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.12000000000000002,0.12000000000000002,0.15,0.22,0.23,0.36,0.36
