slug,snapshots_checked,mismatches,stale_explained,n_events
btc-updown-15m-1760649300,76,2,0,19029
btc-updown-15m-1760653800,90,16,12,22685
btc-updown-15m-1760658300,58,8,6,14715
btc-updown-15m-1760662800,60,4,4,14824
btc-updown-15m-1760666400,50,8,6,12668
btc-updown-15m-1760677200,80,18,5,19953
btc-updown-15m-1760681700,38,2,0,9681
btc-updown-15m-1760686200,108,6,2,26976
btc-updown-15m-1760715000,152,8,4,37918
btc-updown-15m-1760719500,112,10,4,27652
btc-updown-15m-1760723100,138,4,0,34242
btc-updown-15m-1760727600,90,10,10,22228
btc-updown-15m-1760732100,32,4,4,7935
btc-updown-15m-1760748300,58,8,6,14540
btc-updown-15m-1760752800,38,12,8,9249
btc-updown-15m-1760757300,36,4,0,8891
btc-updown-15m-1760816700,62,2,2,15584
btc-updown-15m-1760821200,52,10,6,12771
btc-updown-15m-1760825700,44,4,2,10913
btc-updown-15m-1760877000,86,12,6,21194
btc-updown-15m-1760881500,90,14,10,22313
btc-updown-15m-1760886000,116,16,10,28975
btc-updown-15m-1760889600,40,2,0,10060
btc-updown-15m-1760894100,134,18,6,33205
btc-updown-15m-1760943600,124,14,8,30523
btc-updown-15m-1760948100,90,2,0,22066
btc-updown-15m-1760952600,144,14,4,35593
btc-updown-15m-1760957100,54,4,4,13168
btc-updown-15m-1760960700,58,10,4,14712
btc-updown-15m-1760965200,92,4,0,22896
btc-updown-15m-1760973300,68,4,2,17190
btc-updown-15m-1760977800,154,4,4,38180
btc-updown-15m-1760982300,52,2,2,12916
btc-updown-15m-1760985900,102,4,2,25617
btc-updown-15m-1760990400,80,12,8,19935
btc-updown-15m-1760994900,40,4,4,9944
btc-updown-15m-1760999400,54,12,10,12902
btc-updown-15m-1761003900,88,14,8,21895
btc-updown-15m-1761008400,64,14,12,15784
btc-updown-15m-1761012000,50,10,6,12374
btc-updown-15m-1761019200,46,10,10,11212
btc-updown-15m-1761023700,130,18,6,31898
btc-updown-15m-1761028200,130,14,8,32230
btc-updown-15m-1761039900,104,8,4,25952
btc-updown-15m-1761044400,52,8,4,13137
btc-updown-15m-1761048000,112,16,12,27697
btc-updown-15m-1761052500,122,10,4,30303
btc-updown-15m-1761057000,172,14,8,42650
btc-updown-15m-1761061500,234,28,10,58176
btc-updown-15m-1761066000,208,20,14,51419
btc-updown-15m-1761070500,206,14,8,51287
btc-updown-15m-1761074100,98,4,4,24568
btc-updown-15m-1761078600,144,18,12,35811
btc-updown-15m-1761083100,70,10,2,17251
btc-updown-15m-1761087600,128,12,6,32067
btc-updown-15m-1761092100,74,2,0,18251
btc-updown-15m-1761096600,116,14,8,28936
btc-updown-15m-1761100200,40,2,2,10027
btc-updown-15m-1761104700,114,10,4,28232
btc-updown-15m-1761109200,66,4,2,16325
btc-updown-15m-1761113700,78,6,6,19473
btc-updown-15m-1761118200,110,6,0,27368
btc-updown-15m-1761122700,108,12,10,26715
btc-updown-15m-1761126300,98,10,6,24137
btc-updown-15m-1761130800,172,22,14,42365
btc-updown-15m-1761135300,104,12,10,26108
btc-updown-15m-1761139800,234,32,18,57854
btc-updown-15m-1761148800,94,4,4,23425
btc-updown-15m-1761153300,144,12,10,36153
btc-updown-15m-1761156900,148,14,12,36781
btc-updown-15m-1761161400,122,10,8,30554
btc-updown-15m-1761165900,46,0,0,11807
btc-updown-15m-1761177600,130,8,8,32106
btc-updown-15m-1761182100,156,30,18,38374
btc-updown-15m-1761186600,142,22,16,35111
btc-updown-15m-1761190200,78,6,2,19640
btc-updown-15m-1761194700,66,8,6,16431
btc-updown-15m-1761199200,112,10,2,27502
btc-updown-15m-1761203700,88,10,8,22078
btc-updown-15m-1761208200,88,6,6,22062
btc-updown-15m-1761212700,124,24,16,30585
btc-updown-15m-1761216300,116,14,12,28594
btc-updown-15m-1761220800,144,24,24,35474
btc-updown-15m-1761225300,128,12,10,31906
btc-updown-15m-1761229800,132,24,24,32981
btc-updown-15m-1761234300,104,12,10,25717
btc-updown-15m-1761238800,132,44,36,32909
btc-updown-15m-1761242400,148,26,24,36712
btc-updown-15m-1761246900,104,14,10,25753
btc-updown-15m-1761251400,118,10,6,29505
btc-updown-15m-1761255900,114,16,12,28058
