month,t_sec,token,state,bid_band,n,n_wins,p_win,avg_bid,med_bid_sz,med_top3_bid
2025-10,300,up,two_sided,58,6,5,0.8333,0.59,19.0,223.0
2025-10,300,up,two_sided,60,25,13,0.52,0.6036,30.0,158.5
2025-10,300,up,two_sided,62,20,9,0.45,0.626,10.5,110.5
2025-10,300,up,two_sided,64,24,12,0.5,0.6458,20.0,267.4
2025-10,300,up,two_sided,66,25,20,0.8,0.6656,19.0,157.0
2025-10,300,up,two_sided,68,19,15,0.7895,0.6837,19.0,292.0
2025-10,300,up,two_sided,70,24,19,0.7917,0.705,13.0,235.1
2025-10,300,up,two_sided,72,18,14,0.7778,0.7244,15.8,122.3
2025-10,300,up,two_sided,74,22,18,0.8182,0.7455,45.5,246.7
2025-10,300,up,two_sided,76,19,16,0.8421,0.7647,24.0,316.0
2025-10,300,up,two_sided,78,21,19,0.9048,0.7852,36.5,308.0
2025-10,300,up,two_sided,80,22,18,0.8182,0.8045,12.0,395.3
2025-10,300,up,two_sided,82,20,20,1.0,0.825,28.5,380.1
2025-10,300,up,two_sided,84,16,12,0.75,0.845,19.0,347.5
