month,t_sec,token,state,ask_band,n,n_wins,p_win,avg_ask,med_ask_sz,med_top3_ask
2025-10,780,down,two_sided,80,11,8,0.7273,0.8036,16.2,130.8
2025-10,780,down,two_sided,82,15,10,0.6667,0.8247,30.0,431.8
2025-10,780,down,two_sided,84,14,11,0.7857,0.8471,19.3,331.6
2025-10,780,down,two_sided,86,12,9,0.75,0.865,60.2,427.2
2025-10,780,down,two_sided,88,13,11,0.8462,0.8854,20.9,335.3
2025-10,780,down,two_sided,90,19,18,0.9474,0.9068,90.0,633.0
2025-10,780,down,two_sided,92,11,11,1.0,0.9255,36.4,212.0
2025-10,780,down,two_sided,94,23,22,0.9565,0.9448,75.0,497.7
2025-10,780,down,two_sided,96,45,43,0.9556,0.9656,79.4,614.8
2025-10,780,down,two_sided,98,85,84,0.9882,0.987,185.5,406.1
2025-10,780,up,ask_only,0,132,0,0.0,0.01,518.4,959.1
2025-10,780,up,ask_only,2,14,0,0.0,0.0214,111.8,414.8
2025-10,780,up,ask_only,4,1,0,0.0,0.05,72.3,735.3
2025-10,780,up,ask_only,6,1,0,0.0,0.07,212.5,805.7
2025-10,780,up,ask_only,14,1,0,0.0,0.15,5.0,15.0
2025-10,780,up,two_sided,0,1,0,0.0,0.009,1005.0,9984.4
2025-10,780,up,two_sided,2,40,0,0.0,0.0248,70.2,619.0
2025-10,780,up,two_sided,4,42,2,0.0476,0.045,51.0,533.5
2025-10,780,up,two_sided,6,27,0,0.0,0.0637,27.0,262.0
2025-10,780,up,two_sided,8,15,0,0.0,0.086,13.0,194.5
2025-10,780,up,two_sided,10,24,1,0.0417,0.1042,36.7,302.7
2025-10,780,up,two_sided,12,14,0,0.0,0.1286,30.0,297.7
2025-10,780,up,two_sided,14,16,2,0.125,0.1438,17.6,313.0
2025-10,780,up,two_sided,16,12,1,0.0833,0.1658,18.2,289.5
2025-10,780,up,two_sided,18,15,3,0.2,0.1847,19.5,205.5
2025-10,780,up,two_sided,20,16,4,0.25,0.2031,15.0,322.0
2025-10,780,up,two_sided,22,7,1,0.1429,0.2229,34.3,112.0
2025-10,780,up,two_sided,24,10,2,0.2,0.246,15.0,248.1
2025-10,780,up,two_sided,26,9,5,0.5556,0.2656,27.4,325.5
2025-10,780,up,two_sided,28,7,2,0.2857,0.2857,10.0,212.0
2025-10,780,up,two_sided,30,8,0,0.0,0.305,79.0,302.5
2025-10,780,up,two_sided,32,5,1,0.2,0.322,15.0,290.0
2025-10,780,up,two_sided,34,7,0,0.0,0.3457,20.0,277.0
2025-10,780,up,two_sided,36,7,2,0.2857,0.3657,16.0,52.4
2025-10,780,up,two_sided,38,8,4,0.5,0.3888,34.0,688.4
2025-10,780,up,two_sided,40,4,3,0.75,0.405,18.5,238.2
2025-10,780,up,two_sided,42,4,3,0.75,0.425,36.0,140.7
2025-10,780,up,two_sided,44,9,2,0.2222,0.4478,16.0,230.5
2025-10,780,up,two_sided,46,5,3,0.6,0.466,6.0,109.0
2025-10,780,up,two_sided,48,5,1,0.2,0.486,31.0,175.5
2025-10,780,up,two_sided,50,12,7,0.5833,0.5067,21.0,233.2
2025-10,780,up,two_sided,52,5,2,0.4,0.524,16.0,288.8
2025-10,780,up,two_sided,54,10,6,0.6,0.547,11.0,227.5
2025-10,780,up,two_sided,56,9,5,0.5556,0.5722,40.0,177.5
2025-10,780,up,two_sided,58,4,3,0.75,0.59,27.5,177.4
2025-10,780,up,two_sided,60,6,2,0.3333,0.605,41.5,307.5
2025-10,780,up,two_sided,62,7,5,0.7143,0.6243,107.9,188.2
2025-10,780,up,two_sided,64,5,4,0.8,0.642,16.7,136.1
2025-10,780,up,two_sided,66,14,5,0.3571,0.6657,21.0,64.0
2025-10,780,up,two_sided,68,7,6,0.8571,0.6857,28.0,291.0
2025-10,780,up,two_sided,70,13,9,0.6923,0.7046,20.0,87.7
2025-10,780,up,two_sided,72,6,4,0.6667,0.725,8.8,254.4
2025-10,780,up,two_sided,74,11,10,0.9091,0.7473,49.0,345.9
2025-10,780,up,two_sided,76,10,9,0.9,0.766,51.0,184.5
2025-10,780,up,two_sided,78,9,9,1.0,0.7856,75.1,336.0
2025-10,780,up,two_sided,80,9,7,0.7778,0.8033,24.0,526.0
2025-10,780,up,two_sided,82,15,10,0.6667,0.824,24.0,126.1
2025-10,780,up,two_sided,84,3,3,1.0,0.8467,10.2,271.0
2025-10,780,up,two_sided,86,9,9,1.0,0.8633,15.0,609.3
2025-10,780,up,two_sided,88,12,9,0.75,0.8842,18.1,191.6
2025-10,780,up,two_sided,90,9,9,1.0,0.9078,14.0,623.0
2025-10,780,up,two_sided,92,16,15,0.9375,0.9256,92.0,544.1
2025-10,780,up,two_sided,94,26,26,1.0,0.945,65.1,586.0
2025-10,780,up,two_sided,96,34,33,0.9706,0.9662,63.1,821.9
2025-10,780,up,two_sided,98,86,84,0.9767,0.9873,303.1,433.1
2025-10,840,down,ask_only,0,212,0,0.0,0.0098,1212.7,1750.3
2025-10,840,down,ask_only,2,12,0,0.0,0.0217,221.3,471.0
2025-10,840,down,ask_only,4,8,1,0.125,0.045,85.3,217.5
2025-10,840,down,ask_only,6,2,0,0.0,0.065,316.4,593.9
