slug,snapshots_checked,mismatches,stale_explained,n_events
btc-updown-15m-1761200100,2,0,0,599
btc-updown-15m-1761201000,12,4,4,3039
btc-updown-15m-1761201900,4,0,0,1304
btc-updown-15m-1761202800,2,2,0,555
btc-updown-15m-1761204600,2,0,0,745
btc-updown-15m-1761205500,6,0,0,1935
btc-updown-15m-1761206400,0,0,0,237
btc-updown-15m-1761207300,20,0,0,5207
btc-updown-15m-1761209100,14,4,4,3821
btc-updown-15m-1761210000,2,0,0,877
btc-updown-15m-1761210900,0,0,0,430
btc-updown-15m-1761211800,22,4,4,5574
btc-updown-15m-1761213600,2,0,0,868
btc-updown-15m-1761214500,20,0,0,4997
btc-updown-15m-1761215400,8,0,0,2054
btc-updown-15m-1761217200,10,2,2,2529
btc-updown-15m-1761218100,2,0,0,645
btc-updown-15m-1761219000,2,0,0,793
btc-updown-15m-1761219900,18,0,0,4585
btc-updown-15m-1761221700,2,0,0,664
btc-updown-15m-1761222600,10,2,2,2836
btc-updown-15m-1761223500,20,2,0,4932
btc-updown-15m-1761224400,0,0,0,98
btc-updown-15m-1761226200,12,2,2,3026
btc-updown-15m-1761227100,24,4,4,6151
btc-updown-15m-1761228000,0,0,0,393
btc-updown-15m-1761228900,0,0,0,225
btc-updown-15m-1761230700,22,6,4,5535
btc-updown-15m-1761231600,4,0,0,1112
btc-updown-15m-1761232500,12,4,0,3253
btc-updown-15m-1761233400,24,6,6,5990
btc-updown-15m-1761235200,10,0,0,2898
btc-updown-15m-1761236100,4,2,2,973
btc-updown-15m-1761237000,30,6,4,7469
btc-updown-15m-1761237900,0,0,0,278
btc-updown-15m-1761239700,8,2,2,2225
btc-updown-15m-1761240600,2,0,0,878
btc-updown-15m-1761241500,0,0,0,280
btc-updown-15m-1761243300,4,0,0,1051
btc-updown-15m-1761244200,36,6,4,8835
btc-updown-15m-1761245100,24,0,0,6066
btc-updown-15m-1761246000,2,2,2,924
btc-updown-15m-1761247800,4,0,0,1221
btc-updown-15m-1761248700,10,2,2,2919
btc-updown-15m-1761249600,0,0,0,396
btc-updown-15m-1761250500,16,4,4,4250
btc-updown-15m-1761252300,10,0,0,2613
btc-updown-15m-1761253200,10,2,2,2802
btc-updown-15m-1761254100,14,0,0,3849
btc-updown-15m-1761255000,6,2,2,1689
btc-updown-15m-1761256800,0,0,0,84
btc-updown-15m-1761257700,12,2,2,2940
btc-updown-15m-1761258600,16,0,0,4102
btc-updown-15m-1761259500,8,0,0,2266
btc-updown-15m-1761261300,18,2,0,4593
btc-updown-15m-1761262200,16,2,2,4001
btc-updown-15m-1761263100,20,6,2,4982
btc-updown-15m-1761264000,4,0,0,1283
btc-updown-15m-1761265800,0,0,0,436
btc-updown-15m-1761266700,4,0,0,1320
btc-updown-15m-1761267600,22,4,2,5717
btc-updown-15m-1761277500,16,2,2,4207
btc-updown-15m-1761278400,4,2,0,1028
btc-updown-15m-1761279300,0,0,0,333
btc-updown-15m-1761280200,2,0,0,860
btc-updown-15m-1761282000,10,4,2,2885
btc-updown-15m-1761282900,4,0,0,1054
btc-updown-15m-1761283800,2,0,0,480
btc-updown-15m-1761284700,4,0,0,1086
btc-updown-15m-1761286500,10,0,0,2441
btc-updown-15m-1761287400,4,0,0,1263
btc-updown-15m-1761288300,12,0,0,2912
btc-updown-15m-1761289200,0,0,0,217
btc-updown-15m-1761291000,2,0,0,700
btc-updown-15m-1761291900,10,6,2,2643
btc-updown-15m-1761292800,16,2,0,4119
btc-updown-15m-1761293700,0,0,0,260
btc-updown-15m-1761295500,24,2,2,6161
btc-updown-15m-1761296400,0,0,0,235
btc-updown-15m-1761297300,8,0,0,2139
btc-updown-15m-1761298200,6,0,0,1700
btc-updown-15m-1761300000,12,0,0,3185
btc-updown-15m-1761300900,2,0,0,881
btc-updown-15m-1761301800,14,0,0,3516
btc-updown-15m-1761303600,2,0,0,595
btc-updown-15m-1761304500,2,0,0,855
btc-updown-15m-1761305400,2,2,2,915
btc-updown-15m-1761320700,0,0,0,0
btc-updown-15m-1761322500,0,0,0,245
btc-updown-15m-1761323400,2,2,0,475
btc-updown-15m-1761324300,2,0,0,518
btc-updown-15m-1761325200,22,4,2,5682
btc-updown-15m-1761327000,2,0,0,591
btc-updown-15m-1761327900,6,0,0,1585
btc-updown-15m-1761328800,0,0,0,436
btc-updown-15m-1761329700,12,4,4,3205
btc-updown-15m-1761331500,10,2,0,2661
btc-updown-15m-1761332400,0,0,0,424
btc-updown-15m-1761333300,2,0,0,879
btc-updown-15m-1761334200,2,0,0,671
btc-updown-15m-1761336000,14,0,0,3616
btc-updown-15m-1761336900,4,4,0,1246
btc-updown-15m-1761345900,18,6,6,4861
btc-updown-15m-1761346800,0,0,0,335
btc-updown-15m-1761348600,2,0,0,636
btc-updown-15m-1761349500,8,0,0,2398
btc-updown-15m-1761350400,0,0,0,329
btc-updown-15m-1761352200,4,0,0,994
btc-updown-15m-1761353100,8,0,0,2014
btc-updown-15m-1761354000,2,0,0,562
btc-updown-15m-1761354900,0,0,0,344
btc-updown-15m-1761356700,2,0,0,699
btc-updown-15m-1761357600,0,0,0,212
btc-updown-15m-1761358500,4,0,0,945
btc-updown-15m-1761359400,6,2,0,1887
btc-updown-15m-1761365700,0,0,0,234
btc-updown-15m-1761366600,16,2,0,4325
